region,district,isocode,year,population,data_year,country,source_sheet,data_level,week_number,cases,deaths,attack_rate,case_fatality_rate
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,1,0,0,0.0,
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,2,0,0,0.0,
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,3,0,0,0.0,
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,4,1,0,0.06399590426212723,0.0
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,5,0,0,0.0,
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,6,1,0,0.06399590426212723,0.0
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,7,0,0,0.0,
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,8,1,0,0.06399590426212723,0.0
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,9,0,0,0.0,
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,10,0,0,0.0,
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,11,0,0,0.0,
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,12,1,0,0.06399590426212723,0.0
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,13,0,0,0.0,
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,14,0,0,0.0,
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,15,1,0,0.06399590426212723,0.0
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,16,1,0,0.06399590426212723,0.0
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,17,2,0,0.12799180852425446,0.0
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,18,1,0,0.06399590426212723,0.0
ADAMAOUA,,,,1562600,2025,Cameroun,mcs_2025,region,19,2,0,0.12799180852425446,0.0
